state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,1/31/11,Unemployed,F,Suburban,Single,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,2/19/11,Employed,F,Suburban,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,1/20/11,Unemployed,M,Suburban,Married,Corporate L2,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,2/3/11,Employed,M,Rural,Single,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,1/25/11,Employed,F,Rural,Married,Personal L3,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,2/24/11,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Master,1/18/11,Unemployed,M,Urban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,2/17/11,Employed,F,Urban,Married,Special L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,2/21/11,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,1/6/11,Unemployed,F,Suburban,Married,Personal L3,Offer2,Agent,SUV,Medsize
California,No,Premium,Master,2/6/11,Employed,M,Urban,Married,Corporate L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,1/10/11,Employed,M,Suburban,Married,Corporate L3,Offer2,Branch,SUV,Medsize
California,No,Basic,College,1/18/11,Employed,M,Urban,Single,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,2/6/11,Medical Leave,M,Suburban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,1/5/11,Medical Leave,M,Suburban,Married,Personal L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,2/27/11,Employed,M,Urban,Married,Personal L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,1/14/11,Employed,F,Suburban,Married,Corporate L2,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,2/19/11,Employed,M,Suburban,Single,Personal L2,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,1/21/11,Disabled,F,Suburban,Divorced,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,2/24/11,Unemployed,F,Suburban,Single,Corporate L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,2/5/11,Disabled,F,Suburban,Married,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,1/29/11,Employed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Large
California,No,Premium,Bachelor,2/28/11,Unemployed,F,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small
Washington,No,Extended,Master,2/12/11,Disabled,F,Urban,Married,Corporate L1,Offer1,Branch,SUV,Medsize
Arizona,No,Premium,College,2/2/11,Employed,F,Suburban,Single,Personal L3,Offer1,Call Center,Four-Door Car,Large
Oregon,No,Extended,Master,2/7/11,Employed,F,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Small
Arizona,No,Basic,College,2/28/11,Employed,M,Suburban,Married,Personal L2,Offer4,Call Center,Four-Door Car,Small
Nevada,No,Extended,High School or Below,1/22/11,Employed,M,Urban,Married,Corporate L2,Offer2,Agent,Luxury SUV,Medsize
California,No,Basic,Bachelor,1/25/11,Unemployed,M,Urban,Married,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,1/18/11,Employed,M,Suburban,Married,Corporate L2,Offer1,Agent,Two-Door Car,Small
Oregon,No,Basic,Bachelor,2/13/11,Employed,F,Rural,Married,Corporate L1,Offer3,Web,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,1/15/11,Employed,F,Urban,Married,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Bachelor,1/8/11,Employed,M,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
